BARANG,NAMA_BARANG_RAPIH,KATEGORI,MEREK,SPESIFIKASI,PART_NO,COA
STOP SCREW P/N:343A-B3 MITSUI MAN B&W 6S60MC,FASTENER STOP SCREW P N MITSUI 6S60MC MAN B&W (P/N: 343A-B3),FASTENER,MAN B&W,,343A-B3,PERLENGKAPAN KAPAL - MESIN
"STOP VALVE 1/4""","VALVE STOP VALVE 1 4 4""",VALVE,,"4""",,PERLENGKAPAN KAPAL - MESIN
"STOP VALVE 1/4""+ NEPPLE","VALVE STOP VALVE 1 4 NEPPLE 4""",VALVE,,"4""",,PERLENGKAPAN KAPAL - MESIN
"STOP VALVE 3/4""","VALVE STOP VALVE 3 4 4""",VALVE,,"4""",,PERLENGKAPAN KAPAL - MESIN
STOP WATCH,LAIN-LAIN STOP WATCH,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STOPER KAMPAS REM (REP),LAIN-LAIN STOPER KAMPAS REM REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STOPER LASINGAN ( REP ) (REP),LAIN-LAIN STOPER LASINGAN REP REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STOPER PONTON (REP),LAIN-LAIN STOPER PONTON REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STOPER WINCH (REP),LAIN-LAIN STOPER WINCH REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STOPPER 141616-51410 YANMAR M220L-UN,LAIN-LAIN STOPPER 141616 51410 M220L UN YANMAR,LAIN-LAIN,YANMAR,,,PERLENGKAPAN KAPAL - MESIN
STOPPER CRANE (REP),LAIN-LAIN STOPPER CRANE REP,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STOPPER P/N:H55057 SULZER 6AL20D,LAIN-LAIN STOPPER P N 6AL20D SULZER (P/N: H55057),LAIN-LAIN,SULZER,,H55057,PERLENGKAPAN KAPAL - MESIN
STOPPER TBR 20 TREND,LAIN-LAIN STOPPER TBR 20 TREND,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"STOPPER,DELIVERY P/N:147644-51410 AE YANMAR M220AL-UN",LAIN-LAIN STOPPER DELIVERY P N AE M220AL UN YANMAR (P/N: 147644-51410),LAIN-LAIN,YANMAR,,147644-51410,PERLENGKAPAN KAPAL - MESIN
STORM VALVE 5K 80,VALVE STORM VALVE 5K 80 5K,VALVE,,5K,,PERLENGKAPAN KAPAL - MESIN
STORM VALVE DN150,VALVE STORM VALVE DN150,VALVE,,,,PERLENGKAPAN KAPAL - MESIN
"STORM VALVE DN150, PN 0.5 MPA, STANDART ID: BS1506 CB/T1853-2008","VALVE STORM VALVE DN150 PN 0 5 MPA STANDART ID BS1506 CB T1853 2008 0.5 M, PN 0",VALVE,,"0.5 M, PN 0",,PERLENGKAPAN KAPAL - MESIN
STRAIGHT SHANK TWIST DRILL SETS,TOOL STRAIGHT SHANK TWIST DRILL SETS,TOOL,,,,PERLENGKAPAN KAPAL - MESIN
STRAINER SEA CHEST (REP),FILTER STRAINER SEA CHEST REP,FILTER,,,,PERLENGKAPAN KAPAL - MESIN
STRETCHER (150X150MM),LAIN-LAIN STRETCHER 150X150MM,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STRETCHER (TANDU),LAIN-LAIN STRETCHER TANDU,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
STROM VALVE 5K 150,VALVE STROM VALVE 5K 150 5K,VALVE,,5K,,PERLENGKAPAN KAPAL - MESIN
STUD 6,FASTENER STUD 6,FASTENER,,,,PERLENGKAPAN KAPAL - MESIN
STUD BOLD M 24 X 1 METER,"FASTENER STUD BOLD M 24 X 1 METER 1 M, 24 X 1",FASTENER,,"1 M, 24 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLD M 30 X 1 METER,"FASTENER STUD BOLD M 30 X 1 METER 1 M, 30 X 1",FASTENER,,"1 M, 30 X 1",,PERLENGKAPAN KAPAL - MESIN
"STUD BOLT  P/N: GB/T899 M16X1.5X175, YANMAR 6N330EW",FASTENER STUD BOLT P N T899 M16X1 5X175 6N330EW 5X175 YANMAR (P/N: GB),FASTENER,YANMAR,5X175,GB,PERLENGKAPAN KAPAL - MESIN
STUD BOLT  S/S 12 X 1 MTR,"FASTENER STUD BOLT S S 12 X 1 MTR 1 M, 12 X 1",FASTENER,,"1 M, 12 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT  S/S 16 X 1 MTR,"FASTENER STUD BOLT S S 16 X 1 MTR 1 M, 16 X 1",FASTENER,,"1 M, 16 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT  S/S 20 X 1 MTR,"FASTENER STUD BOLT S S 20 X 1 MTR 1 M, 20 X 1",FASTENER,,"1 M, 20 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT  S/S M.30 X 1 MTR,"FASTENER STUD BOLT S S M 30 X 1 MTR 1 M, 30 X 1",FASTENER,,"1 M, 30 X 1",,PERLENGKAPAN KAPAL - DECK
STUD BOLT (REP),FASTENER STUD BOLT REP,FASTENER,,,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT + M16X175 MM P/N:26232-161752 AE YANMAR M220L-UN,FASTENER STUD BOLT M16X175 MM P N AE M220L UN YANMAR (P/N: 26232-161752),FASTENER,YANMAR,,26232-161752,PERLENGKAPAN KAPAL - MESIN
"STUD BOLT 1"" X 1 MTR","FASTENER STUD BOLT 1 X 1 MTR 1 M, 1""",FASTENER,,"1 M, 1""",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 10 X 1 M,"FASTENER STUD BOLT 10 X 1 M 1 M, 10 X 1",FASTENER,,"1 M, 10 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 10 X 1 MTR,"FASTENER STUD BOLT 10 X 1 MTR 1 M, 10 X 1",FASTENER,,"1 M, 10 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 12 X 1 MTR,"FASTENER STUD BOLT 12 X 1 MTR 1 M, 12 X 1",FASTENER,,"1 M, 12 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 14 X 1 MTR,"FASTENER STUD BOLT 14 X 1 MTR 1 M, 14 X 1",FASTENER,,"1 M, 14 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 16 MM X 1 MTR,"FASTENER STUD BOLT 16 MM X 1 MTR 1 M, 16 MM",FASTENER,,"1 M, 16 MM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 16 X 1 MTR,"FASTENER STUD BOLT 16 X 1 MTR 1 M, 16 X 1",FASTENER,,"1 M, 16 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 18 X 1 MTR,"FASTENER STUD BOLT 18 X 1 MTR 1 M, 18 X 1",FASTENER,,"1 M, 18 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 20 X 1M,FASTENER STUD BOLT 20 X 1M 1M,FASTENER,,1M,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 20MM,FASTENER STUD BOLT 20MM 20MM,FASTENER,,20MM,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 22 X 1 MTR,"FASTENER STUD BOLT 22 X 1 MTR 1 M, 22 X 1",FASTENER,,"1 M, 22 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 24 X 1 M,"FASTENER STUD BOLT 24 X 1 M 1 M, 24 X 1",FASTENER,,"1 M, 24 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 30 X 1 MTR,"FASTENER STUD BOLT 30 X 1 MTR 1 M, 30 X 1",FASTENER,,"1 M, 30 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 6 X 1 MTR,"FASTENER STUD BOLT 6 X 1 MTR 1 M, 6 X 1",FASTENER,,"1 M, 6 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT 8MM X 1 MTR,"FASTENER STUD BOLT 8MM X 1 MTR 1 M, 8MM",FASTENER,,"1 M, 8MM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT BAJA 12 X 1 M,"FASTENER STUD BOLT BAJA 12 X 1 M 1 M, 12 X 1",FASTENER,,"1 M, 12 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT BAJA M.24 X 1 MTR,"FASTENER STUD BOLT BAJA M 24 X 1 MTR 1 M, 24 X 1",FASTENER,,"1 M, 24 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M 22,FASTENER STUD BOLT M 22,FASTENER,,,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M 30,FASTENER STUD BOLT M 30,FASTENER,,,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M. 33 X 1 MTR,"FASTENER STUD BOLT M 33 X 1 MTR 1 M, 33 X 1",FASTENER,,"1 M, 33 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.10 X 1 MTR,"FASTENER STUD BOLT M 10 X 1 MTR 1 M, 10 X 1",FASTENER,,"1 M, 10 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.10 X 1000 MM,"FASTENER STUD BOLT M 10 X 1000 MM 10 X 1000, 1000 MM",FASTENER,,"10 X 1000, 1000 MM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.12 X 1 MTR,"FASTENER STUD BOLT M 12 X 1 MTR 1 M, 12 X 1",FASTENER,,"1 M, 12 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.12 X 1000 MM,"FASTENER STUD BOLT M 12 X 1000 MM 1000 MM, 12 X 1000",FASTENER,,"1000 MM, 12 X 1000",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.14 X 1 MTR,"FASTENER STUD BOLT M 14 X 1 MTR 1 M, 14 X 1",FASTENER,,"1 M, 14 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.16 X 1000 MM,"FASTENER STUD BOLT M 16 X 1000 MM 1000 MM, 16 X 1000",FASTENER,,"1000 MM, 16 X 1000",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.16-P2.00 X 100 CM,"FASTENER STUD BOLT M 16 P2 00 X 100 CM 00 X 100, 100 CM",FASTENER,,"00 X 100, 100 CM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.20,FASTENER STUD BOLT M 20,FASTENER,,,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.24 X 1 MTR,"FASTENER STUD BOLT M 24 X 1 MTR 1 M, 24 X 1",FASTENER,,"1 M, 24 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M.36 X 1 MTR,"FASTENER STUD BOLT M 36 X 1 MTR 1 M, 36 X 1",FASTENER,,"1 M, 36 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M116X1.5X175 P/N:GB/T899 M116X1.5X175 YANMAR 8N330-EW,FASTENER STUD BOLT M116X1 5X175 P N T899 M116X1 5X175 8N330 EW 5X175 YANMAR (P/N: GB),FASTENER,YANMAR,5X175,GB,PERLENGKAPAN KAPAL - MESIN
"STUD BOLT M20X1.5X335 P/N : GB/T6171 M20X1.5X335, YANMAR 6N330EW",FASTENER STUD BOLT M20X1 5X335 P N T6171 M20X1 5X335 6N330EW 5X335 YANMAR (P/N: GB),FASTENER,YANMAR,5X335,GB,PERLENGKAPAN KAPAL - MESIN
STUD BOLT M22 X 1 METER,FASTENER STUD BOLT M22 X 1 METER 1 M,FASTENER,,1 M,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT P/N 245010 ME MITSUBISHI 6UEC52LA,FASTENER STUD BOLT P N ME 6UEC52LA 245010 M MITSUBISHI (P/N: 245010),FASTENER,MITSUBISHI,245010 M,245010,PERLENGKAPAN KAPAL - MESIN
STUD BOLT P/N: 4199 COMPRESSOR SPERRE HL2/105,FASTENER STUD BOLT P N COMPRESSOR SPERRE HL2 105 (P/N: 4199),FASTENER,,,4199,PERLENGKAPAN KAPAL - MESIN
STUD BOLT P/N:4195 COMPRESSOR SPERRE HL2/105,FASTENER STUD BOLT P N COMPRESSOR SPERRE HL2 105 (P/N: 4195),FASTENER,,,4195,PERLENGKAPAN KAPAL - MESIN
STUD BOLT P/N:4205 COMPRESSOR SPERRE HL2/105,FASTENER STUD BOLT P N COMPRESSOR SPERRE HL2 105 (P/N: 4205),FASTENER,,,4205,PERLENGKAPAN KAPAL - MESIN
STUD BOLT P/N:Z6170.1-32 ZIBO ZICHAI Z6170 ZLCZ-19,FASTENER STUD BOLT P N ZIBO ZICHAI Z6170 ZLCZ 19 (P/N: Z6170.1-32),FASTENER,,,Z6170.1-32,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS  Ø16MM,FASTENER STUD BOLT SS Ø16MM,FASTENER,,,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS 12 MM X 1 MTR,"FASTENER STUD BOLT SS 12 MM X 1 MTR 1 M, 12 MM",FASTENER,,"1 M, 12 MM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS 14 X 1 MTR,"FASTENER STUD BOLT SS 14 X 1 MTR 1 M, 14 X 1",FASTENER,,"1 M, 14 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS 16 MM X 1 METER,"FASTENER STUD BOLT SS 16 MM X 1 METER 1 M, 16 MM",FASTENER,,"1 M, 16 MM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS 30 MM X 1 MTR,"FASTENER STUD BOLT SS 30 MM X 1 MTR 1 M, 30 MM",FASTENER,,"1 M, 30 MM",,PERLENGKAPAN KAPAL - DECK
STUD BOLT SS 8 MM X 1 MTR,"FASTENER STUD BOLT SS 8 MM X 1 MTR 1 M, 8 MM",FASTENER,,"1 M, 8 MM",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS M.10 X 1MTR,FASTENER STUD BOLT SS M 10 X 1MTR 1M,FASTENER,,1M,,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS M.12 X 1 MTR,"FASTENER STUD BOLT SS M 12 X 1 MTR 1 M, 12 X 1",FASTENER,,"1 M, 12 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS M.14 X 1 MTR,"FASTENER STUD BOLT SS M 14 X 1 MTR 1 M, 14 X 1",FASTENER,,"1 M, 14 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS M.16 X 1 MTR,"FASTENER STUD BOLT SS M 16 X 1 MTR 1 M, 16 X 1",FASTENER,,"1 M, 16 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS M.20 X 1 MTR,"FASTENER STUD BOLT SS M 20 X 1 MTR 1 M, 20 X 1",FASTENER,,"1 M, 20 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT SS M.22 X 1 MTR,"FASTENER STUD BOLT SS M 22 X 1 MTR 1 M, 22 X 1",FASTENER,,"1 M, 22 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT UK 3/4 X 1 MTR,"FASTENER STUD BOLT UK 3 4 X 1 MTR 1 M, 4 X 1",FASTENER,,"1 M, 4 X 1",,PERLENGKAPAN KAPAL - MESIN
STUD BOLT UK.8 MM X 1 MTR,"FASTENER STUD BOLT UK 8 MM X 1 MTR 1 M, 8 MM",FASTENER,,"1 M, 8 MM",,PERLENGKAPAN KAPAL - MESIN
"STUD BOLTS,STAINLESS STEEL M20 X 2,5 X 100 MM","PIPE FITTING STUD BOLTS STAINLESS STEEL M20 X 2 5 X 100 MM 100 MM, 2,5 X 100",PIPE FITTING,,"100 MM, 2,5 X 100",,PERLENGKAPAN KAPAL - MESIN
STUD FOR INJECTOR P/N:G-A01-073 ME NINGBO G8300 ZC18BH,ENGINE PART STUD FOR INJECTOR P N ME NINGBO G8300 ZC18BH 073 M (P/N: G-A01-073),ENGINE PART,,073 M,G-A01-073,PERLENGKAPAN KAPAL - MESIN
STUD FOR INJECTOR P/N:G-A01-073A ANTAI WUXI  G8300ZC 16BH,ENGINE PART STUD FOR INJECTOR P N ANTAI WUXI G8300ZC 16BH (P/N: G-A01-073A),ENGINE PART,,,G-A01-073A,PERLENGKAPAN KAPAL - MESIN
STUD P/N:320.01.35 GUANGZHOU DIESEL 8320 ZCD-6,FASTENER STUD P N GUANGZHOU DIESEL 8320 ZCD 6 (P/N: 320.01.35),FASTENER,,,320.01.35,PERLENGKAPAN KAPAL - MESIN
STUD P/N:P90101-0186-126 YMD MAN B&W S35MC-C9,FASTENER STUD P N YMD S35MC C9 MAN B&W (P/N: P90101-0186-126),FASTENER,MAN B&W,,P90101-0186-126,PERLENGKAPAN KAPAL - MESIN
STUD P/N:P90101-0186-151 YMD MAN B&W S35MC-C9,FASTENER STUD P N YMD S35MC C9 MAN B&W (P/N: P90101-0186-151),FASTENER,MAN B&W,,P90101-0186-151,PERLENGKAPAN KAPAL - MESIN
STUD P/N:P90803-0069-648 YMD MAN B&W S35MC-C9,FASTENER STUD P N YMD S35MC C9 MAN B&W (P/N: P90803-0069-648),FASTENER,MAN B&W,,P90803-0069-648,PERLENGKAPAN KAPAL - MESIN
"STUD, FUEL VALVE P/N:P90101-0186-043 YMD MAN B&W S35MC-C9",VALVE STUD FUEL VALVE P N YMD S35MC C9 MAN B&W (P/N: P90101-0186-043),VALVE,MAN B&W,,P90101-0186-043,PERLENGKAPAN KAPAL - MESIN
STYROFOAM,LAIN-LAIN STYROFOAM,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
SUCTION BEND P/N:132654-12301 YANMAR 6N330-EW,LAIN-LAIN SUCTION BEND P N 6N330 EW YANMAR (P/N: 132654-12301),LAIN-LAIN,YANMAR,,132654-12301,PERLENGKAPAN KAPAL - MESIN
SUCTION FILTER MF-06,FILTER SUCTION FILTER MF 06,FILTER,,,,PERLENGKAPAN KAPAL - MESIN
SUCTION LP VALVE P/N:190140-11350 COMP YANMAR SC-12.5N,VALVE SUCTION LP VALVE P N COMP SC 12 5N YANMAR (P/N: 190140-11350),VALVE,YANMAR,,190140-11350,PERLENGKAPAN KAPAL - MESIN
SUCTION PACKING P/N:141616-12170 YANMAR M200AL-UN,SEAL SUCTION PACKING P N M200AL UN YANMAR (P/N: 141616-12170),SEAL,YANMAR,,141616-12170,PERLENGKAPAN KAPAL - MESIN
SUCTION PLATE P/N:037186 JP SAUER & SOHN WP 200,LAIN-LAIN SUCTION PLATE P N JP SAUER SOHN WP 200 (P/N: 037186),LAIN-LAIN,,,037186,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE (LP + HP) AIR COMPRESSOR TYPE 2ZF-0.34/3-B JIANGYAN SHUNTIAN,VALVE SUCTION VALVE LP HP AIR COMPRESSOR TYPE 2ZF 0 34 3 B JIANGYAN SHUNTIAN,VALVE,,,,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE (NI PLATED) P/N:141644-11101 YANMAR 6M 200 AL-UN,VALVE SUCTION VALVE NI PLATED P N 6M 200 AL UN 6M YANMAR (P/N: 141644-11101),VALVE,YANMAR,6M,141644-11101,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE GUIDE P/N 132654-11161 YANMAR 8N330EN,VALVE SUCTION VALVE GUIDE P N 8N330EN YANMAR (P/N: 132654-11161),VALVE,YANMAR,,132654-11161,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE GUIDE P/N:141616-11160 YANMAR M200 AL-UN,VALVE SUCTION VALVE GUIDE P N M200 AL UN YANMAR (P/N: 141616-11160),VALVE,YANMAR,,141616-11160,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE GUIDE P/N:146613-11160 YANMAR 6M 200 AL-UN,VALVE SUCTION VALVE GUIDE P N 6M 200 AL UN 6M YANMAR (P/N: 146613-11160),VALVE,YANMAR,6M,146613-11160,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE GUIDE P/N:147644-11150 AE YANMAR M220 AL,VALVE SUCTION VALVE GUIDE P N AE M220 AL YANMAR (P/N: 147644-11150),VALVE,YANMAR,,147644-11150,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE P/N 132653-11100 YANMAR 8N330EN,VALVE SUCTION VALVE P N 8N330EN YANMAR (P/N: 132653-11100),VALVE,YANMAR,,132653-11100,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE P/N:132653-11100 YANMAR 8N330-EW,VALVE SUCTION VALVE P N 8N330 EW YANMAR (P/N: 132653-11100),VALVE,YANMAR,,132653-11100,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE P/N:132654-11100 YANMAR 8N330EN,VALVE SUCTION VALVE P N 8N330EN YANMAR (P/N: 132654-11100),VALVE,YANMAR,,132654-11100,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE P/N:141611-11101 YANMAR M200 AL-UN,VALVE SUCTION VALVE P N M200 AL UN YANMAR (P/N: 141611-11101),VALVE,YANMAR,,141611-11101,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE P/N:141644-11101 YANMAR M200AL-UN,VALVE SUCTION VALVE P N M200AL UN YANMAR (P/N: 141644-11101),VALVE,YANMAR,,141644-11101,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE P/N:152623-11100 YANMAR 6N 165L-EN,VALVE SUCTION VALVE P N 6N 165L EN YANMAR (P/N: 152623-11100),VALVE,YANMAR,,152623-11100,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE PLATE P/N 112601 COMPRESSOR AC DAIKIN 6C75-EB,VALVE SUCTION VALVE PLATE P N COMPRESSOR AC 6C75 EB DAIKIN (P/N: 112601),VALVE,DAIKIN,,112601,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE PLATE P/N:033895 COMPRESSOR SAUR & SOHN WP150,VALVE SUCTION VALVE PLATE P N COMPRESSOR SAUR SOHN WP150 (P/N: 033895),VALVE,,,033895,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE PLATE P/N:037187 JP SAUER & SOHN WP 200,VALVE SUCTION VALVE PLATE P N JP SAUER SOHN WP 200 (P/N: 037187),VALVE,,,037187,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SEAT P/N:132654-11840 ME YANMAR 6N330-EW,VALVE SUCTION VALVE SEAT P N ME 6N330 EW 11840 M YANMAR (P/N: 132654-11840),VALVE,YANMAR,11840 M,132654-11840,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SEAT P/N:132654-11840 YANMAR 6N330-EW,VALVE SUCTION VALVE SEAT P N 6N330 EW YANMAR (P/N: 132654-11840),VALVE,YANMAR,,132654-11840,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SEAT P/N:132654-11840 YANMAR 8N330-EW,VALVE SUCTION VALVE SEAT P N 8N330 EW YANMAR (P/N: 132654-11840),VALVE,YANMAR,,132654-11840,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SEAT P/N:137676-11081 YANMAR M200 AL-UN,VALVE SUCTION VALVE SEAT P N M200 AL UN YANMAR (P/N: 137676-11081),VALVE,YANMAR,,137676-11081,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SEAT P/N:146673-11710 YANMAR 6N18L-EN,VALVE SUCTION VALVE SEAT P N 6N18L EN YANMAR (P/N: 146673-11710),VALVE,YANMAR,,146673-11710,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SEAT P/N:152623-11080 YANMAR 6N 165L-EN,VALVE SUCTION VALVE SEAT P N 6N 165L EN YANMAR (P/N: 152623-11080),VALVE,YANMAR,,152623-11080,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SPINDLE P/N 132653-11100 ME YANMAR 6N330EW,VALVE SUCTION VALVE SPINDLE P N ME 6N330EW 11100 M YANMAR (P/N: 132653-11100),VALVE,YANMAR,11100 M,132653-11100,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SPRING P/N:033896 COMPRESSOR SAUR & SOHN WP150,VALVE SUCTION VALVE SPRING P N COMPRESSOR SAUR SOHN WP150 (P/N: 033896),VALVE,,,033896,PERLENGKAPAN KAPAL - MESIN
SUCTION VALVE SPRING P/N:037192 JP SAUER & SOHN WP 200,VALVE SUCTION VALVE SPRING P N JP SAUER SOHN WP 200 (P/N: 037192),VALVE,,,037192,PERLENGKAPAN KAPAL - MESIN
SULAK (KEMOCENG),LAIN-LAIN SULAK KEMOCENG,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
SUMBU PEL TANPA GAGANG,LAIN-LAIN SUMBU PEL TANPA GAGANG,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
SUMBU PEL.,LAIN-LAIN SUMBU PEL,LAIN-LAIN,,,,BIAYA CONSUMABLES KAPAL
SUN HYDRAULIC CBEG - LJN,LAIN-LAIN SUN HYDRAULIC CBEG LJN,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
SUNLIGHT 800 ML,ELECTRICAL SUNLIGHT 800 ML 800 M,ELECTRICAL,,800 M,,BIAYA CONSUMABLES KAPAL
SUNTIKAN 3ML,LAIN-LAIN SUNTIKAN 3ML 3M,LAIN-LAIN,,3M,,PERLENGKAPAN KAPAL - DECK
SUPER GLUE ULTRA GEL CONTROL (LOCTITE),CHEMICAL SUPER GLUE ULTRA GEL CONTROL LOCTITE,CHEMICAL,,,,BIAYA CONSUMABLES KAPAL
SUPER SEALER THREEBOND,SEAL SUPER SEALER THREEBOND,SEAL,,,,PERLENGKAPAN KAPAL - MESIN
SUPERLAS BOTOL KECIL,LAIN-LAIN SUPERLAS BOTOL KECIL,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
"SUPPLY CARD, INDICATION PCB P/N:314.2140-801 CRANE MACGREGOR TYPE L4024/2526-2",CHEMICAL SUPPLY CARD INDIION PCB P N CRANE MACGREGOR TYPE L4024 2526 2 CAT (P/N: 314.2140-801),CHEMICAL,CAT,,314.2140-801,PERLENGKAPAN KAPAL - MESIN
SUPPLY PUMP WITHOUT MOTOR P/N:3G30X4-46(16001/1.1KW),PUMP SUPPLY PUMP WITHOUT MOTOR P N 16001 1 1KW 1.1KW (P/N: 3G30X4-46),PUMP,,1.1KW,3G30X4-46,PERLENGKAPAN KAPAL - MESIN
SUPPORT RING P/N: 15 PUMP B101 AIPUHP HOP1100D,PUMP SUPPORT RING P N PUMP B101 AIPUHP HOP1100D (P/N: 15),PUMP,,,15,PERLENGKAPAN KAPAL - MESIN
"SUPPORTING LIQUID,MERCURY AND INSULATOR FOR GYRO COMPASS`CMZ 700",LAIN-LAIN SUPPORTING LIQUID MERCURY AND INSULATOR FOR GYRO COMPASS CMZ 700,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
SUPPORTING RING P/N:165200 ME WARTSILA 12V32D,SEAL SUPPORTING RING P N ME 12V32D 165200 M WARTSILA (P/N: 165200),SEAL,WARTSILA,165200 M,165200,PERLENGKAPAN KAPAL - MESIN
SURI DRAT,LAIN-LAIN SURI DRAT,LAIN-LAIN,,,,PERLENGKAPAN KAPAL - MESIN
SUTIL (SENDOK PENGGORENGAN),STATIONERY SUTIL SENDOK PENGGORENGAN,STATIONERY,,,,PERLENGKAPAN KAPAL - DECK
SW PUMP ASSEMBLY ZIBO YICHAI Z6170 ZLCZ-19,PUMP SW PUMP ASSEMBLY ZIBO YICHAI Z6170 ZLCZ 19,PUMP,,,,PERLENGKAPAN KAPAL - MESIN
SW PUMP VERTICAL TYPE IS 125-100-250 CAPACITY 100 M3/H HEAD 20 MTR ELMO 11 KW 1460 RPM,"PUMP SW PUMP VERTICAL TYPE IS 125 100 250 CAPACITY 100 M3 H HEAD 20 MTR ELMO 11 KW 1460 RPM 100 M, 11 KW, 20 M",PUMP,,"100 M, 11 KW, 20 M",,PERLENGKAPAN KAPAL - MESIN
